City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,banda aceh,5.5577,95.3222,80.56,74,58,10.25,ID,1611624939
299,clyde river,70.4692,-68.5914,6.8,92,1,18.41,CA,1611625010
300,nuevo progreso,23.1667,-97.95,73.0,66,28,4.0,MX,1611625008
301,qaqortoq,60.7167,-46.0333,24.8,26,55,27.63,GL,1611625012
302,rock springs,41.5875,-109.2029,17.6,86,90,6.91,US,1611625224
303,emerald,-23.5333,148.1667,89.01,48,40,6.91,AU,1611624982
304,rustenburg,-25.6676,27.2421,64.85,92,100,8.63,ZA,1611625302
305,kempsey,-31.0833,152.8333,87.01,65,0,5.99,AU,1611625089
306,marau,-28.4492,-52.2,66.18,96,0,4.36,BR,1611625302
307,tazovskiy,67.4667,78.7,-26.77,86,100,19.48,RU,1611625302
308,aklavik,68.2191,-135.0107,-7.6,77,97,3.44,CA,1611624928
309,coquimbo,-29.9533,-71.3436,62.6,82,75,6.91,CL,1611624959
310,komsomolskiy,40.4272,71.7189,19.4,79,33,4.61,UZ,1611624931
311,samarai,-10.6167,150.6667,84.72,70,61,0.65,PG,1611625002
312,hobyo,5.3505,48.5268,75.02,74,23,18.1,SO,1611624986
313,baykalovo,57.3981,63.7684,29.68,97,98,11.56,RU,1611625303
314,kuito,-12.3833,16.9333,60.71,92,100,6.6,AO,1611625303
315,ondo,7.1,4.8333,70.3,94,73,2.04,NG,1611625303
316,sept-iles,50.2001,-66.3821,34.0,60,100,9.22,CA,1611625023
317,valley station,38.1112,-85.8702,39.2,93,90,5.75,US,1611625304
318,ustyuzhna,58.8394,36.4321,34.27,98,100,7.49,RU,1611625304
319,hedaru,-4.5,37.9,68.5,89,34,1.9,TZ,1611625304
320,port blair,11.6667,92.75,76.44,74,36,9.13,IN,1611624845
321,mancio lima,-7.6142,-72.8958,73.9,95,100,1.5,BR,1611625304
322,krasnogvardeyskiy,57.3793,62.3195,28.87,96,92,9.78,RU,1611625304
323,khani,41.9563,42.9566,46.4,36,0,9.22,GE,1611625304
324,mingoyo,-10.1,39.6333,75.2,88,20,8.05,TZ,1611625305
325,paramonga,-10.6667,-77.8333,71.49,79,100,5.14,PE,1611625178
326,kenai,60.5544,-151.2583,26.6,86,1,9.22,US,1611624945
327,dibulla,11.2725,-73.3091,76.62,71,100,12.1,CO,1611625305
328,boyolangu,-8.1181,111.8935,84.43,61,41,2.53,ID,1611625305
329,awash,8.9833,40.1667,60.84,60,0,1.48,ET,1611625305
330,kuryk,43.2,51.65,35.04,83,0,24.76,KZ,1611625067
331,abong mbang,3.9833,13.1833,62.01,46,1,2.57,CM,1611625306
332,vostok,46.4856,135.8833,17.47,96,100,5.61,RU,1611625015
333,cairns,-16.9167,145.7667,86.0,66,75,8.05,AU,1611625306
334,svetlyy,54.675,20.1347,36.0,100,75,4.47,RU,1611625043
335,talnakh,69.4865,88.3972,-31.43,82,100,9.57,RU,1611624970
336,la ronge,55.1001,-105.2842,-25.6,68,0,1.63,CA,1611624944
337,bousso,10.4795,16.7117,71.73,22,19,7.83,TD,1611625306
338,grand gaube,-20.0064,57.6608,75.0,81,4,4.0,MU,1611624757
339,sorland,67.667,12.6934,37.67,79,81,23.29,NO,1611625109
340,yerbogachen,61.2767,108.0108,-39.14,81,70,2.57,RU,1611625045
341,carutapera,-1.195,-46.02,76.39,90,70,4.34,BR,1611625010
342,wooster,40.8051,-81.9351,30.99,86,90,9.22,US,1611625307
343,yermakovskoye,53.2831,92.4003,-10.5,90,100,0.92,RU,1611625307
344,ibanda,-2.7974,32.4746,62.96,95,99,4.45,TZ,1611625307
345,alice,27.7523,-98.0697,75.2,49,90,9.22,US,1611625308
346,tautira,-17.7333,-149.15,87.8,55,75,5.75,PF,1611625003
347,karpathos,35.507,27.2132,62.6,72,100,17.27,GR,1611625308
348,cap malheureux,-19.9842,57.6142,75.0,81,6,5.01,MU,1611624966
349,odweyne,9.4092,45.064,62.17,28,0,9.93,SO,1611625025
350,fonte boa,-2.4959,-66.2662,74.46,96,100,2.51,BR,1611625308
351,lorengau,-2.0226,147.2712,85.71,63,44,8.46,PG,1611624985
352,santiago,-33.4569,-70.6483,73.4,49,0,11.5,CL,1611625178
353,port hedland,-20.3167,118.5667,93.2,31,100,5.75,AU,1611624739
354,hede,33.7681,120.2517,47.41,85,81,9.62,CN,1611625309
355,gdov,58.7406,27.8122,33.75,97,100,6.29,RU,1611625309
356,yulara,-25.2406,130.9889,93.2,36,0,4.61,AU,1611624999
357,arawa,-6.2132,155.5367,91.4,48,76,5.23,PG,1611625040
358,esperance,-33.8667,121.9,69.8,49,19,6.91,AU,1611624973
359,japura,-0.3167,102.35,79.75,83,93,1.34,ID,1611625310
360,sisimiut,66.9395,-53.6735,12.24,94,92,2.91,GL,1611624963
361,punta cardon,11.6581,-70.215,77.31,80,100,22.44,VE,1611625310
362,jiwani,25.05,61.7417,63.0,29,0,6.13,PK,1611625310
363,mareeba,-17.0,145.4333,86.0,66,75,8.05,AU,1611625310
364,san patricio,28.017,-97.5169,75.2,57,90,6.91,US,1611624817
365,pietarsaari,63.65,22.6833,30.0,100,90,1.14,FI,1611625311
